
1.0	 -1, -1, -1, 0, 0, 0, -1, -1, 1; 0, 0, 0, 0, 0, 0; 127; 35.87, 75, 0.82, 91.14, 7.45, 304.0, 238.1, 1, 16.11, 6.27, 15.76, 0.03, 12.75, 10.74, 0.4, 0, 1.0, 0.01, 149.99
2.0	 -1, 1, 0, 0, 1, 1, 0, 1, 1; 0, 0, 0, 0, 0, 0; 127; 34.87, 80, 0.93, 86.0, 7.48, 304.0, 249.3, 1, 16.11, 6.26, 35.54, 0.06, 11.75, 11.61, 0.4, 0.01, 2.0, 0.02, 149.98
3.0	 -1, 1, 1, 0, 1, 0, 1, -1, -1; 0, 0, 0, 0, 0, 2; -255; 33.87, 85, 1.07, 79.55, 7.38, 380.0, 336.43, 1, 20.14, 6.25, 55.33, 0.09, 10.75, 11.61, 0.5, 0, 3.0, 0.01, 149.97

1.0	 0, 1, -1, 0, 0, 0, -1, 1, -1; 0, 0, 0, 0, 0, 0; 127; 36.81, 85, 0.98, 86.36, 7.45, 304.0, 244.86, 1, 16.11, 5.79, 15.75, 0.03, 12.75, 10.93, 0.4, 0.01, 1.0, 0, 150.01
2.0	 0, 1, 1, 0, 0, 1, -1, 0, 0; 0, 0, 0, 0, 0, 0; 127; 36.81, 90, 1.04, 86.23, 7.39, 380.0, 325.54, 1, 20.14, 5.77, 15.5, 0.06, 11.75, 11.73, 0.5, 0.01, 2.0, 0.0, 150.02
3.0	 1, -1, 1, 0, 0, 0, 0, -1, -1; 0, 0, 0, 0, 0, 0; 127; 37.81, 85, 1.18, 72.31, 7.31, 456.0, 404.78, 1, 24.17, 5.75, 15.23, 0.1, 10.75, 11.73, 0.6, 0, 3.0, 0, 150.02
4.0	 0, -1, -1, 0, 0, 0, 0, 0, 0; 0, 0, 0, 0, 0, -1; 117; 37.81, 80, 1.11, 72.23, 7.39, 380.0, 325.28, 1, 20.14, 5.73, 14.96, 0.14, 9.75, 11.73, 0.5, 0.0, 4.0, 0.0, 150.02
5.0	 1, 0, -1, 0, 0, 0, 0, 0, 1; 1, 0, 0, 0, 0, -1; 107; 38.81, 80, 1.18, 67.68, 7.49, 304.0, 248.25, 1, 16.11, 5.71, 14.67, 0.18, 8.75, 11.73, 0.4, 0.0, 5.0, 0.01, 150.01

1.0	 -1, 0, 1, 0, 1, 0, 0, 0, -1; 0, 0, 0, 0, 0, 0; 127; 35.35, 80, 0.96, 83.65, 7.27, 456.0, 402.78, 1, 24.17, 5.06, 35.77, 0.03, 12.75, 10.74, 0.6, 0.0, 1.0, 0, 150.0
2.0	 1, 1, 1, 0, 0, 0, -1, -1, 1; 0, 0, 0, 0, 0, 0; 127; 36.35, 85, 0.96, 88.62, 7.2, 532.0, 475.61, 1, 28.2, 5.04, 35.52, 0.06, 11.75, 10.74, 0.7, 0, 2.0, 0.01, 149.99
3.0	 0, 1, 1, 0, 0, 0, -1, 1, -1; 0, 0, -1, 1, 0, 0; 107; 36.35, 90, 1.01, 88.77, 7.15, 608.0, 554.84, 1, 32.22, 5.02, 35.27, 0.09, 10.75, 10.93, 0.8, 0.01, 3.0, 0, 150.0
4.0	 -1, 0, -1, 0, 0, 0, 1, 0, -1; 0, 0, 0, 0, 0, 0; 127; 35.35, 90, 1.22, 73.48, 7.22, 532.0, 490.73, 1, 28.2, 5.0, 35.04, 0.12, 9.75, 11.04, 0.7, 0.01, 4.0, 0, 150.01
